                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.93355,                0.67571,                 1.1239,                0.89845,                0.91791,                0.95055,                0.73225,                 0.8666,                0.47021,                 1.0786,               0.070048,               0.003328,               0.003328
                      1,                0.95645,                0.71521,                 1.1337,                 0.8824,                0.90814,                0.94076,                0.71531,                0.89556,                 0.5109,                 1.0959,               0.040015,              0.0066284,              0.0066284
                      2,                 1.0009,                0.79655,                   1.16,                0.82045,                0.89008,                0.91554,                0.67862,                0.94517,                0.59839,                  1.127,               0.009949,              0.0098957,              0.0098957
                      3,                 1.0502,                 0.9268,                 1.1851,                0.81391,                0.85683,                0.89273,                 0.6546,                0.97902,                0.67494,                 1.1487,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.0536,                0.94456,                 1.1887,                0.81253,                 0.8329,                0.87175,                0.64136,                0.98122,                0.68451,                 1.1373,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.0664,                0.95487,                 1.1902,                0.80276,                0.83567,                0.86406,                0.63065,                0.98376,                0.70206,                 1.1494,               0.009802,               0.009802,               0.009802
                      6,                 1.0603,                0.95311,                 1.1921,                0.80857,                0.86168,                0.89026,                0.65338,                0.96884,                0.66197,                  1.129,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0614,                0.95219,                 1.1922,                 0.8112,                0.83094,                0.87812,                0.64254,                0.98489,                0.69609,                 1.1402,               0.009703,               0.009703,               0.009703
                      8,                 1.0606,                 0.9512,                 1.1898,                0.80558,                0.84702,                0.88171,                0.64515,                0.97981,                0.68385,                 1.1332,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.0554,                0.94893,                 1.1905,                0.80535,                0.82922,                0.87129,                0.63351,                0.98866,                0.70199,                 1.1527,               0.009604,               0.009604,               0.009604
                     10,                 1.0538,                0.93749,                 1.1847,                 0.8032,                0.85891,                0.88941,                 0.6497,                0.97638,                0.66208,                 1.1364,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.0604,                 0.9428,                 1.1888,                0.82463,                0.86069,                 0.9001,                0.66368,                  0.967,                0.64221,                 1.1327,               0.009505,               0.009505,               0.009505
                     12,                 1.0532,                0.93103,                 1.1885,                0.79175,                0.86239,                0.88637,                0.64985,                0.97028,                0.66775,                 1.1474,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.0538,                0.93869,                   1.19,                0.82175,                0.86568,                0.89973,                0.66146,                0.96938,                0.63899,                 1.1375,               0.009406,               0.009406,               0.009406
                     14,                 1.0549,                0.92304,                 1.1872,                0.82596,                0.86811,                0.90034,                0.66446,                0.96042,                0.62728,                 1.1207,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.0488,                0.92288,                 1.1849,                0.81958,                0.86016,                0.89649,                0.66026,                0.96781,                0.65238,                 1.1347,               0.009307,               0.009307,               0.009307
                     16,                 1.0511,                0.91622,                 1.1905,                0.81004,                0.85938,                0.89011,                0.65468,                0.96781,                0.64825,                 1.1399,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.0502,                0.91027,                 1.1834,                0.84095,                0.86822,                0.90599,                0.66759,                0.95872,                0.61185,                 1.1239,               0.009208,               0.009208,               0.009208
                     18,                 1.0466,                0.90496,                 1.1809,                0.83625,                0.86468,                0.90189,                0.66604,                0.96648,                0.63172,                 1.1275,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.0473,                0.89845,                 1.1799,                0.83456,                0.86086,                0.90332,                0.67076,                0.96379,                0.61752,                 1.1333,               0.009109,               0.009109,               0.009109
