                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1765,                  3.266,                 1.4119,                0.42876,                0.50048,                0.43141,                0.28636,                 1.1468,                 2.2149,                 1.4735,               0.070048,               0.003328,               0.003328
                      1,                 1.1966,                 2.1148,                 1.3962,                0.52558,                0.57072,                0.54846,                0.35601,                 1.1981,                 1.7273,                 1.5071,               0.040015,              0.0066284,              0.0066284
                      2,                 1.2367,                 1.9687,                 1.4158,                  0.523,                0.57527,                0.53739,                0.34745,                 1.2174,                 1.7057,                 1.5338,               0.009949,              0.0098957,              0.0098957
                      3,                 1.2682,                 1.9102,                 1.4302,                0.56271,                0.56856,                0.57108,                0.37817,                 1.2157,                 1.5334,                 1.5016,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.2341,                 1.7198,                 1.3955,                0.58571,                0.62354,                0.61038,                0.40184,                 1.1894,                 1.4465,                 1.4811,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2236,                 1.6029,                 1.3793,                0.65067,                0.65057,                0.66455,                0.44658,                 1.1543,                 1.2584,                 1.4287,               0.009802,               0.009802,               0.009802
                      6,                 1.1943,                  1.499,                 1.3613,                0.62811,                0.67305,                0.67262,                0.44878,                 1.1599,                 1.2687,                 1.4173,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1813,                 1.4338,                  1.342,                0.68321,                0.69282,                0.71714,                0.49146,                 1.1173,                 1.1194,                 1.3615,               0.009703,               0.009703,               0.009703
                      8,                 1.1749,                 1.3699,                 1.3311,                0.67092,                0.70884,                0.72141,                 0.4989,                  1.099,                 1.0899,                 1.3505,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1575,                 1.3292,                 1.3207,                0.69999,                0.71874,                 0.7439,                0.51261,                 1.0912,                 1.0584,                 1.3238,               0.009604,               0.009604,               0.009604
                     10,                 1.1466,                 1.2856,                 1.3086,                0.69839,                0.72139,                0.75266,                0.51644,                 1.1036,                  1.013,                 1.3536,              0.0095545,              0.0095545,              0.0095545
                     11,                  1.144,                 1.2519,                 1.3035,                0.71869,                0.73927,                0.77307,                0.54017,                 1.0751,                0.95766,                  1.321,               0.009505,               0.009505,               0.009505
                     12,                 1.1338,                 1.2163,                 1.2974,                 0.7306,                0.77157,                0.79875,                0.56015,                 1.0668,                0.89492,                 1.3052,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.1306,                 1.2066,                 1.2931,                0.74301,                0.77448,                0.80144,                0.56086,                 1.0649,                0.87735,                 1.2989,               0.009406,               0.009406,               0.009406
                     14,                 1.1254,                 1.1627,                 1.2862,                0.73079,                 0.7767,                0.80531,                0.56625,                 1.0524,                0.87389,                 1.2876,              0.0093565,              0.0093565,              0.0093565
