                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1793,                 2.7292,                 1.4602,                0.72132,                0.76642,                0.78607,                0.52616,                 1.1113,                   1.53,                 1.4985,               0.070133,              0.0033185,              0.0033185
                      1,                 1.1923,                 1.5469,                 1.4088,                0.69329,                0.78545,                0.79312,                 0.5323,                 1.1396,                 1.3951,                 1.5133,               0.040111,              0.0066299,              0.0066299
                      2,                 1.2295,                  1.432,                 1.4281,                0.67687,                0.69524,                0.70351,                0.43227,                 1.2935,                 1.5113,                 1.7001,               0.010067,              0.0099193,              0.0099193
                      3,                 1.2538,                 1.3852,                 1.4394,                0.76418,                0.79017,                0.79362,                0.52343,                 1.2135,                 1.1271,                 1.5616,               0.009901,               0.009901,               0.009901
                      4,                 1.2277,                 1.2715,                 1.4281,                0.79561,                0.83172,                0.82812,                0.54727,                 1.1868,                 1.0291,                 1.5332,               0.009901,               0.009901,               0.009901
                      5,                  1.219,                 1.2033,                 1.4202,                0.79026,                0.81345,                0.82078,                0.55439,                  1.165,                0.96996,                 1.5096,               0.009868,               0.009868,               0.009868
                      6,                 1.1986,                 1.0969,                 1.3952,                0.79443,                0.79815,                0.83848,                0.57029,                 1.1434,                0.93012,                 1.4956,               0.009835,               0.009835,               0.009835
                      7,                  1.191,                 1.0522,                 1.3869,                0.82514,                0.85112,                0.88091,                0.60965,                 1.1105,                0.80477,                  1.451,               0.009802,               0.009802,               0.009802
                      8,                 1.1905,                 1.0213,                 1.3803,                0.81045,                0.83193,                0.86722,                0.59235,                 1.1215,                0.85021,                 1.4786,               0.009769,               0.009769,               0.009769
                      9,                 1.1645,                0.96897,                 1.3563,                0.81216,                0.83447,                 0.8756,                0.60471,                 1.1203,                0.84188,                 1.4488,               0.009736,               0.009736,               0.009736
                     10,                 1.1667,                0.95248,                 1.3669,                0.84416,                 0.8736,                0.89386,                0.62921,                 1.0662,                 0.7451,                 1.3998,               0.009703,               0.009703,               0.009703
