                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.9482,                0.69719,                 1.1317,                 0.8809,                0.92379,                0.94689,                0.72891,                0.87726,                0.46898,                 1.0879,                0.07005,              0.0033278,              0.0033278
                      1,                0.97691,                0.72986,                 1.1523,                0.84912,                0.90624,                0.93445,                0.71385,                 0.8958,                0.51687,                  1.097,               0.039918,              0.0065292,              0.0065292
                      2,                  1.005,                 0.7894,                 1.1627,                0.85572,                0.89563,                0.92092,                 0.6926,                0.92524,                0.56058,                 1.1235,              0.0096544,              0.0095986,              0.0095986
                      3,                 1.0507,                0.89414,                 1.1905,                0.82717,                0.88111,                0.90412,                0.66792,                0.95598,                0.61925,                  1.147,               0.009406,               0.009406,               0.009406
                      4,                 1.0528,                0.92399,                 1.1963,                0.82672,                0.88384,                0.90804,                0.67141,                0.96795,                0.61955,                 1.1491,               0.009406,               0.009406,               0.009406
                      5,                 1.0522,                0.91967,                 1.2004,                0.82118,                0.87711,                0.90087,                0.66881,                 0.9585,                 0.6148,                 1.1417,               0.009208,               0.009208,               0.009208
                      6,                 1.0512,                0.92499,                 1.2011,                0.79973,                0.90693,                0.89848,                0.66632,                0.94623,                0.62811,                 1.1334,                0.00901,                0.00901,                0.00901
                      7,                 1.0427,                0.90652,                 1.1939,                0.83469,                0.88384,                0.90915,                0.67468,                0.94682,                0.60102,                  1.138,               0.008812,               0.008812,               0.008812
                      8,                 1.0348,                0.88629,                 1.1868,                 0.8359,                0.88075,                0.90711,                0.66625,                0.96277,                0.62293,                 1.1491,               0.008614,               0.008614,               0.008614
                      9,                 1.0433,                  0.897,                 1.1894,                0.83871,                0.88649,                0.90978,                0.67096,                0.95835,                  0.596,                  1.135,               0.008416,               0.008416,               0.008416
                     10,                 1.0393,                0.89179,                   1.19,                0.84361,                0.88847,                0.91972,                0.68584,                0.94476,                0.58312,                 1.1282,               0.008218,               0.008218,               0.008218
                     11,                 1.0337,                0.87221,                 1.1898,                0.83853,                0.89521,                0.91812,                0.68064,                0.94955,                 0.5775,                 1.1456,                0.00802,                0.00802,                0.00802
                     12,                 1.0229,                0.86069,                 1.1801,                0.83359,                0.87019,                0.91261,                0.68164,                 0.9368,                0.59691,                 1.1328,               0.007822,               0.007822,               0.007822
                     13,                 1.0355,                0.86459,                 1.1914,                0.82143,                0.89476,                0.90812,                0.67321,                0.94451,                0.59633,                 1.1372,               0.007624,               0.007624,               0.007624
                     14,                 1.0284,                0.85553,                 1.1838,                0.85116,                0.89674,                0.92812,                0.69844,                0.92461,                0.56763,                  1.114,               0.007426,               0.007426,               0.007426
                     15,                 1.0298,                0.85217,                 1.1827,                0.85744,                0.89289,                0.92645,                0.69725,                0.91828,                0.55699,                 1.1152,               0.007228,               0.007228,               0.007228
                     16,                 1.0142,                0.83644,                 1.1792,                0.86459,                0.90138,                0.93356,                0.70186,                0.91947,                0.54856,                 1.1209,                0.00703,                0.00703,                0.00703
                     17,                 1.0182,                0.82547,                 1.1778,                0.86031,                0.89545,                  0.928,                0.70211,                0.91294,                0.54198,                 1.1175,               0.006832,               0.006832,               0.006832
                     18,                 1.0081,                0.82196,                 1.1777,                0.85459,                0.89666,                0.92689,                0.70076,                0.91097,                0.55651,                 1.1171,               0.006634,               0.006634,               0.006634
                     19,                 1.0205,                0.82341,                 1.1826,                0.84329,                0.92159,                0.93861,                0.70855,                0.91226,                0.52574,                 1.1221,               0.006436,               0.006436,               0.006436
                     20,                 1.0041,                0.79849,                 1.1756,                0.85382,                0.91381,                0.93851,                0.71342,                0.90182,                0.53206,                 1.1038,               0.006238,               0.006238,               0.006238
                     21,                 1.0008,                0.80773,                 1.1718,                0.87966,                0.91064,                0.93988,                0.71299,                0.89997,                0.52093,                 1.1078,                0.00604,                0.00604,                0.00604
                     22,                 1.0084,                 0.7921,                 1.1721,                0.88017,                0.91265,                0.94221,                0.71508,                0.90197,                0.50885,                 1.1034,               0.005842,               0.005842,               0.005842
